,Model,Data
Nz,5,
rho,0.614,
sigmau,0.00874,
NrL,25,
rL_min,0.001,
rL_max,0.1,
NrD,25,
rD_min,0.001,
rD_max,0.05,
beta,0.95,
delta,0.244,
cap_req,0.07,
lam,0.276,
rM,0.008,
,,
omega_min,0.0,
omega_max,0.295,
a,4.3,
b,25.6,
sigmaeps,0.17,
theta_min,0.0,
theta_max,0.046,
--------------------,,
Moments (%),,
R_mean,15.441463949829187,
probR_mean,97.62396491772863,
Loans_mean,39.8446885587695,
Loans_std,0.7869010923626065,
Deposits_mean,46.4791853723121,
Deposits_std,0.5860678062896658,
Reserves_mean,11.340921230844152,
Profits_mean,4.867354149570284,
Profits_vol,0.8026850761254358,
Equity_mean,4.706424417301543,
Dividens_mean,0.16092973226874138,
IntRatesLoans_mean,3.406971598579931,
IntRatesLoans_std,0.05317124436630241,
IntRatesDep_mean,2.1380425271263572,
IntRatesDep_std,0.026959119089324655,
NegDividends_perc,19.400970048502426,
EquityIssuance,-3.321167142421614,
Default_perc,0.0,
DefFreq,2.376035082271386,2.33
Leverage,9.185818811254475,9.32
BorrRet,11.754746250399542,10.2
IntMargin,1.2689290714535726,1.58
ROE,3.406138690157627,2.72
